#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>g0 / g^ / g$</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to start / first nonblank / end of the displayed line.<br><br><small>Exact notation: <code>g0 / g^ / g$</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>) / (</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the next / previous sentence.<br><br><small>Exact notation: <code>) / (</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>} / {</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the next / previous paragraph.<br><br><small>Exact notation: <code>} / {</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>[{ / ]}</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the previous unmatched { / next unmatched }.<br><br><small>Exact notation: <code>[{ / ]}</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>[( / ])</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the previous unmatched ( / next unmatched ).<br><br><small>Exact notation: <code>[( / ])</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>+ / Enter</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the first nonblank of the next line.<br><br><small>Exact notation: <code>+ / &lt;CR&gt;</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>-</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Motions</small>	Move to the first nonblank of the previous line.<br><br><small>Exact notation: <code>-</code></small>	nvim native native::motions mode::normal mode::operator-pending
What does <b>{N}{motion}</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Repeat a motion N times; for example 3w or 5j.<br><br><small>Exact notation: <code>{N}{motion}</code></small>	nvim native native::counts mode::normal mode::operator-pending
What does <b>{N}{operator}{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Apply an operator N times; for example 2dw.<br><br><small>Exact notation: <code>{N}{operator}{motion}</code></small>	nvim native native::counts mode::normal
What does <b>{operator}{N}{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Count the motion; for example d3w.<br><br><small>Exact notation: <code>{operator}{N}{motion}</code></small>	nvim native native::counts mode::normal
What does <b>{N1}{operator}{N2}{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Counts multiply; 2d3w affects six words.<br><br><small>Exact notation: <code>{N1}{operator}{N2}{motion}</code></small>	nvim native native::counts mode::normal
What does <b>{N}dd</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Delete N lines.<br><br><small>Exact notation: <code>{N}dd</code></small>	nvim native native::counts mode::normal
What does <b>{N}i{text} Esc</b> do in <b>Normal mode or Insert mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Insert the text N times.<br><br><small>Exact notation: <code>{N}i{text}&lt;Esc&gt;</code></small>	nvim native native::counts mode::normal mode::insert
What does <b>{N}r{char}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Replace N characters with char.<br><br><small>Exact notation: <code>{N}r{char}</code></small>	nvim native native::counts mode::normal
What does <b>{N}.</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Counts</small>	Repeat the latest change N times.<br><br><small>Exact notation: <code>{N}.</code></small>	nvim native native::counts mode::normal
What does <b>{operator}{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Apply an edit to the text covered by a motion.<br><br><small>Exact notation: <code>{operator}{motion}</code></small>	nvim native native::operators mode::normal
What does <b>d{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Delete motion text and save it in a register.<br><br><small>Exact notation: <code>d{motion}</code></small>	nvim native native::operators mode::normal
What does <b>c{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Delete motion text and enter Insert mode.<br><br><small>Exact notation: <code>c{motion}</code></small>	nvim native native::operators mode::normal
What does <b>y{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Yank motion text without changing it.<br><br><small>Exact notation: <code>y{motion}</code></small>	nvim native native::operators mode::normal
What does <b>dd / D</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Delete the whole line / cursor through line end.<br><br><small>Exact notation: <code>dd / D</code></small>	nvim native native::operators mode::normal
What does <b>cc / C</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Change the whole line / cursor through line end.<br><br><small>Exact notation: <code>cc / C</code></small>	nvim native native::operators mode::normal
What does <b>yy</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Yank the current line linewise.<br><br><small>Exact notation: <code>yy</code></small>	nvim native native::operators mode::normal
What does <b>Y</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Yank to line end in Neovim defaults; historical Vim uses yy.<br><br><small>Exact notation: <code>Y</code></small>	nvim native native::operators mode::normal context::neovim
What does <b>x</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	CONFIG OVERRIDE: stock deletes into registers; config uses the black-hole register.<br><br><small>Exact notation: <code>x</code></small>	nvim native native::operators mode::normal config::override
What does <b>X</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Delete the character before the cursor.<br><br><small>Exact notation: <code>X</code></small>	nvim native native::operators mode::normal
What does <b>s</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	CONFIG PREFIX CONFLICT: stock substitutes characters; s-prefixed split maps may delay or intercept sequences.<br><br><small>Exact notation: <code>s</code></small>	nvim native native::operators mode::normal config::override
What does <b>S</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Change the current line; equivalent to cc.<br><br><small>Exact notation: <code>S</code></small>	nvim native native::operators mode::normal
What does <b>r{char}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Replace character(s) without entering Insert mode.<br><br><small>Exact notation: <code>r{char}</code></small>	nvim native native::operators mode::normal
What does <b>gR</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Enter Virtual Replace mode using screen columns.<br><br><small>Exact notation: <code>gR</code></small>	nvim native native::operators mode::normal
What does <b>gr{char}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	CONFIG OVERRIDE: stock virtual-replaces characters; bare gr is LSP references.<br><br><small>Exact notation: <code>gr{char}</code></small>	nvim native native::operators mode::normal config::override
What does <b>~</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Switch the character&#x27;s case and advance.<br><br><small>Exact notation: <code>~</code></small>	nvim native native::operators mode::normal
What does <b>g~{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Switch case over motion text.<br><br><small>Exact notation: <code>g~{motion}</code></small>	nvim native native::operators mode::normal
What does <b>gu{motion} / gU{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Lowercase / uppercase motion text.<br><br><small>Exact notation: <code>gu{motion} / gU{motion}</code></small>	nvim native native::operators mode::normal
What does <b>guu / gUU / g~~</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Lowercase / uppercase / swap case on the line.<br><br><small>Exact notation: <code>guu / gUU / g~~</code></small>	nvim native native::operators mode::normal
What does <b>&gt;{motion} / &lt;{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Indent / unindent motion lines.<br><br><small>Exact notation: <code>&gt;{motion} / &lt;{motion}</code></small>	nvim native native::operators mode::normal
What does <b>&gt;&gt; / &lt;&lt;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Indent / unindent the current line.<br><br><small>Exact notation: <code>&gt;&gt; / &lt;&lt;</code></small>	nvim native native::operators mode::normal
What does <b>={motion} / ==</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Reindent motion text / the current line.<br><br><small>Exact notation: <code>={motion} / ==</code></small>	nvim native native::operators mode::normal
What does <b>gq{motion} / gqq</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Format motion text / the current line.<br><br><small>Exact notation: <code>gq{motion} / gqq</code></small>	nvim native native::operators mode::normal
What does <b>!{motion} / !!</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Filter motion text / the current line through a shell command.<br><br><small>Exact notation: <code>!{motion} / !!</code></small>	nvim native native::operators mode::normal
What does <b>J</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Join the next line while normalizing surrounding whitespace.<br><br><small>Exact notation: <code>J</code></small>	nvim native native::operators mode::normal
What does <b>gJ</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	Join the next line without inserting or removing spaces.<br><br><small>Exact notation: <code>gJ</code></small>	nvim native native::operators mode::normal
What does <b>gc{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	CONFIG OVERRIDE: Neovim&#x27;s native comment operator is provided instead by Comment.nvim.<br><br><small>Exact notation: <code>gc{motion}</code></small>	nvim native native::operators mode::normal context::neovim config::override
What does <b>gcc</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	CONFIG OVERRIDE: Neovim&#x27;s native line-comment toggle is provided by Comment.nvim.<br><br><small>Exact notation: <code>gcc</code></small>	nvim native native::operators mode::normal context::neovim config::override
What does <b>gcgc</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Operators</small>	CONFIG OVERRIDE: operate on the surrounding comment block; Comment.nvim owns gc here.<br><br><small>Exact notation: <code>gcgc</code></small>	nvim native native::operators mode::normal context::neovim config::override
What does <b>i{object} / a{object}</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inner content / a wider object including boundaries.<br><br><small>Exact notation: <code>i{object} / a{object}</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>iw / aw</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select the inner word / a word with surrounding space.<br><br><small>Exact notation: <code>iw / aw</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>iW / aW</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select the inner WORD / a whitespace-delimited WORD.<br><br><small>Exact notation: <code>iW / aW</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>is / as</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select the inner sentence / a sentence.<br><br><small>Exact notation: <code>is / as</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>ip / ap</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select the inner paragraph / a paragraph.<br><br><small>Exact notation: <code>ip / ap</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>i&quot; / a&quot;</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside double quotes / including the quotes.<br><br><small>Exact notation: <code>i&quot; / a&quot;</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>i&#x27; / a&#x27;</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside single quotes / including the quotes.<br><br><small>Exact notation: <code>i&#x27; / a&#x27;</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>i` / a`</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside backticks / including the backticks.<br><br><small>Exact notation: <code>i` / a`</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>i( / a(</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside parentheses / including the parentheses.<br><br><small>Exact notation: <code>i( / a(</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>ib / ab</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Aliases for i( / a(.<br><br><small>Exact notation: <code>ib / ab</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>i[ / a[</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside brackets / including the brackets.<br><br><small>Exact notation: <code>i[ / a[</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>i{ / a{</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside braces / including the braces.<br><br><small>Exact notation: <code>i{ / a{</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>iB / aB</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Aliases for i{ / a{.<br><br><small>Exact notation: <code>iB / aB</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>i&lt; / a&lt;</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside angle brackets / including the brackets.<br><br><small>Exact notation: <code>i&lt; / a&lt;</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>it / at</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select inside an XML/HTML tag / including the tags.<br><br><small>Exact notation: <code>it / at</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>{N}i(</b> do in <b>Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Text objects</small>	Select a progressively outer nested pair.<br><br><small>Exact notation: <code>{N}i(</code></small>	nvim native native::text_objects mode::operator-pending mode::visual
What does <b>a / A</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Insert after the cursor / at line end.<br><br><small>Exact notation: <code>a / A</code></small>	nvim native native::insert_changes mode::normal
What does <b>I</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Insert at the first nonblank character.<br><br><small>Exact notation: <code>I</code></small>	nvim native native::insert_changes mode::normal
What does <b>o / O</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Open a new line below / above and insert.<br><br><small>Exact notation: <code>o / O</code></small>	nvim native native::insert_changes mode::normal
What does <b>gi</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Resume Insert mode at the last insertion position.<br><br><small>Exact notation: <code>gi</code></small>	nvim native native::insert_changes mode::normal
What does <b>Ctrl+O {normal-command}</b> do in <b>Normal mode or Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Execute one Normal command and resume inserting.<br><br><small>Exact notation: <code>&lt;C-o&gt;{normal-command}</code></small>	nvim native native::insert_changes mode::insert mode::normal
What does <b>Backspace / Ctrl+H</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Delete the character before the cursor.<br><br><small>Exact notation: <code>&lt;BS&gt; / &lt;C-h&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Delete</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Delete the character under the cursor.<br><br><small>Exact notation: <code>&lt;Del&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+W</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Delete the preceding word.<br><br><small>Exact notation: <code>&lt;C-w&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+U</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Delete inserted text back to the line start.<br><br><small>Exact notation: <code>&lt;C-u&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+T / Ctrl+D</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Increase / decrease the current line&#x27;s indent.<br><br><small>Exact notation: <code>&lt;C-t&gt; / &lt;C-d&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+V {char-or-code}</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Insert the next key literally or enter a numeric character code.<br><br><small>Exact notation: <code>&lt;C-v&gt;{char-or-code}</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+K {two chars}</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Insert a digraph.<br><br><small>Exact notation: <code>&lt;C-k&gt;{two chars}</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+R {reg}</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Insert a register&#x27;s contents.<br><br><small>Exact notation: <code>&lt;C-r&gt;{reg}</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+R =</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Evaluate an expression and insert its result.<br><br><small>Exact notation: <code>&lt;C-r&gt;=</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+A</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Insert the previously inserted text; Dial&#x27;s Normal/Visual override does not apply here.<br><br><small>Exact notation: <code>&lt;C-a&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+@</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Insert previously inserted text and leave Insert mode.<br><br><small>Exact notation: <code>&lt;C-@&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+N / Ctrl+P</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Select the next / previous native keyword-completion candidate.<br><br><small>Exact notation: <code>&lt;C-n&gt; / &lt;C-p&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+X Ctrl+F</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Complete a file name.<br><br><small>Exact notation: <code>&lt;C-x&gt;&lt;C-f&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+X Ctrl+L</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Complete a whole line.<br><br><small>Exact notation: <code>&lt;C-x&gt;&lt;C-l&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+X Ctrl+O</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Run omnifunction completion.<br><br><small>Exact notation: <code>&lt;C-x&gt;&lt;C-o&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>Ctrl+Y / Ctrl+E</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Insert changes</small>	Copy the character above / below when completion is inactive.<br><br><small>Exact notation: <code>&lt;C-y&gt; / &lt;C-e&gt;</code></small>	nvim native native::insert_changes mode::insert
What does <b>&quot;{reg}{operator}</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Direct the next yank, delete, change, or put to a register.<br><br><small>Exact notation: <code>&quot;{reg}{operator}</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;&quot;</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Explicitly select the unnamed register.<br><br><small>Exact notation: <code>&quot;&quot;</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;0</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Select the most recent yank register.<br><br><small>Exact notation: <code>&quot;0</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;1 through &quot;9</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Select recent delete/change history, newest first.<br><br><small>Exact notation: <code>&quot;1 through &quot;9</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;-</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Select the small-delete register.<br><br><small>Exact notation: <code>&quot;-</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;_</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Select the black-hole register and discard text.<br><br><small>Exact notation: <code>&quot;_</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;a through &quot;z</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Select a named register.<br><br><small>Exact notation: <code>&quot;a through &quot;z</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;A through &quot;Z</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Append to the corresponding named register.<br><br><small>Exact notation: <code>&quot;A through &quot;Z</code></small>	nvim native native::yanks_registers mode::normal mode::visual
What does <b>&quot;+</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Select the system clipboard register.<br><br><small>Exact notation: <code>&quot;+</code></small>	nvim native native::yanks_registers mode::normal mode::visual context::clipboard
What does <b>&quot;*</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Select the primary-selection clipboard where supported.<br><br><small>Exact notation: <code>&quot;*</code></small>	nvim native native::yanks_registers mode::normal mode::visual context::clipboard
What does <b>&quot;%</b> do in <b>Insert mode or Command-line mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Insert the current file name.<br><br><small>Exact notation: <code>&quot;%</code></small>	nvim native native::yanks_registers mode::insert mode::command-line
What does <b>&quot;#</b> do in <b>Insert mode or Command-line mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Insert the alternate file name.<br><br><small>Exact notation: <code>&quot;#</code></small>	nvim native native::yanks_registers mode::insert mode::command-line
What does <b>&quot;:</b> do in <b>Insert mode or Command-line mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Insert the most recently executed Ex command.<br><br><small>Exact notation: <code>&quot;:</code></small>	nvim native native::yanks_registers mode::insert mode::command-line
What does <b>&quot;/</b> do in <b>Insert mode or Command-line mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Insert the latest search pattern.<br><br><small>Exact notation: <code>&quot;/</code></small>	nvim native native::yanks_registers mode::insert mode::command-line
What does <b>&quot;.</b> do in <b>Insert mode or Command-line mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Insert the most recently inserted text.<br><br><small>Exact notation: <code>&quot;.</code></small>	nvim native native::yanks_registers mode::insert mode::command-line
What does <b>&quot;=</b> do in <b>Normal mode or Insert mode or Command-line mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Use the expression register.<br><br><small>Exact notation: <code>&quot;=</code></small>	nvim native native::yanks_registers mode::normal mode::insert mode::command-line
What does <b>:registers [names]</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Show register contents, optionally limited to selected registers.<br><br><small>Exact notation: <code>:registers [names]</code></small>	nvim native native::yanks_registers context::ex
What does <b>p / P</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	CONFIG OVERRIDE: Yanky puts after / before using its yank ring.<br><br><small>Exact notation: <code>p / P</code></small>	nvim native native::yanks_registers mode::normal config::override
What does <b>gp / gP</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	CONFIG OVERRIDE: Yanky puts after / before and leaves the cursor after the text.<br><br><small>Exact notation: <code>gp / gP</code></small>	nvim native native::yanks_registers mode::normal config::override
What does <b>p / P</b> do in <b>Visual mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	CONFIG OVERRIDE: replace the selection using Yanky; stock also updates registers.<br><br><small>Exact notation: <code>p / P</code></small>	nvim native native::yanks_registers mode::visual config::override
What does <b>[p / ]p</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Put before / after while adjusting linewise indentation.<br><br><small>Exact notation: <code>[p / ]p</code></small>	nvim native native::yanks_registers mode::normal
What does <b>&quot;0p</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Put the latest yank even after later deletes.<br><br><small>Exact notation: <code>&quot;0p</code></small>	nvim native native::yanks_registers mode::normal
What does <b>&quot;+y{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Yank motion text to the system clipboard.<br><br><small>Exact notation: <code>&quot;+y{motion}</code></small>	nvim native native::yanks_registers mode::normal context::clipboard
What does <b>:put {reg} / :put! {reg}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Put a register below / above the addressed line.<br><br><small>Exact notation: <code>:put {reg} / :put! {reg}</code></small>	nvim native native::yanks_registers context::ex
What does <b>:put =expression</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Yanks/registers</small>	Evaluate an expression and insert its result as a line.<br><br><small>Exact notation: <code>:put =expression</code></small>	nvim native native::yanks_registers context::ex
What does <b>u</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Undo the latest change block.<br><br><small>Exact notation: <code>u</code></small>	nvim native native::undo_repeat mode::normal
What does <b>Ctrl+R</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Redo the latest undone change.<br><br><small>Exact notation: <code>&lt;C-r&gt;</code></small>	nvim native native::undo_repeat mode::normal
What does <b>U</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Undo the latest changes made on one line.<br><br><small>Exact notation: <code>U</code></small>	nvim native native::undo_repeat mode::normal
What does <b>.</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Repeat the latest repeatable change.<br><br><small>Exact notation: <code>.</code></small>	nvim native native::undo_repeat mode::normal
What does <b>Ctrl+G u</b> do in <b>Insert mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Start a new undo block without leaving Insert mode.<br><br><small>Exact notation: <code>&lt;C-g&gt;u</code></small>	nvim native native::undo_repeat mode::insert
What does <b>:undo / :redo</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Undo / redo one change.<br><br><small>Exact notation: <code>:undo / :redo</code></small>	nvim native native::undo_repeat context::ex
What does <b>:earlier 5m</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Move to the text state from about five minutes earlier.<br><br><small>Exact notation: <code>:earlier 5m</code></small>	nvim native native::undo_repeat context::ex
What does <b>:later 5m</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Move to the text state from about five minutes later.<br><br><small>Exact notation: <code>:later 5m</code></small>	nvim native native::undo_repeat context::ex
